seed,step,household_id,money,skill_level,max_acceptable_price,employer,wage,wealth_type
1002324,1,64,1688.58,0.49,297.62,suppliers,36.12,medium
1002324,1,65,1246.04,0.49,198.08,suppliers,36.12,high
1002324,1,66,1615.38,0.32,632.56,suppliers,36.12,high
1002324,1,67,1671.84,0.51,26.26,suppliers,36.12,medium
1002324,1,68,1581.5,0.72,461.03,suppliers,36.12,high
1002324,1,69,1734.99,0.89,519.38,suppliers,36.12,medium
1002324,1,70,1790.32,0.8,678.58,suppliers,36.12,medium
1002324,1,71,1032.91,0.89,654.75,suppliers,36.12,low
1002324,1,72,1246.02,0.53,113.85,suppliers,36.12,low
1002324,1,73,1764.74,0.56,194.96,suppliers,36.12,high
1002324,1,74,1523.18,0.42,733.75,suppliers,36.12,medium
1002324,1,75,1692.92,0.72,578.99,suppliers,36.12,high
1002324,1,76,1433.68,0.74,401.47,suppliers,36.12,low
1002324,1,77,1514.63,0.86,259.27,suppliers,36.12,high
1002324,1,78,1667.38,0.8,180.9,suppliers,36.12,high
1002324,1,79,824.89,0.51,330.42,suppliers,36.12,high
1002324,1,80,1123.69,0.87,508.22,suppliers,36.12,low
1002324,1,81,1794.51,0.57,37.59,suppliers,36.12,high
1002324,1,82,1696.51,0.95,799.53,firm_2,41.95,medium
1002324,1,83,1639.61,0.8,238.17,suppliers,36.12,medium
1002324,1,84,1510.74,0.43,737.68,suppliers,36.12,medium
1002324,1,85,1695.37,0.75,724.84,suppliers,36.12,low
1002324,1,86,1493.33,0.84,533.46,suppliers,36.12,medium
1002324,1,87,920.35,0.8,328.74,suppliers,36.12,low
1002324,1,88,1669.72,0.41,419.76,suppliers,36.12,high
1002324,1,89,1555.93,0.64,657.02,suppliers,36.12,high
1002324,1,90,1775.98,0.48,584.24,suppliers,36.12,medium
1002324,1,91,1642.14,0.87,233.48,suppliers,36.12,medium
1002324,1,92,1271.79,0.58,50.39,suppliers,36.12,high
1002324,1,93,1357.21,0.52,338.26,suppliers,36.12,medium
1002324,1,94,1504.7,0.51,473.69,suppliers,36.12,high
1002324,1,95,1506.95,0.76,32.03,suppliers,36.12,medium
1002324,1,96,1787.97,0.55,651.13,suppliers,36.12,high
1002324,1,97,1679.14,0.75,342.69,suppliers,36.12,medium
1002324,1,98,1528.06,0.75,487.51,suppliers,36.12,low
1002324,1,99,1669.23,0.51,632.88,suppliers,36.12,medium
1002324,1,100,1318.06,0.57,727.9,suppliers,36.12,medium
1002324,1,101,1274.8,0.29,453.76,suppliers,36.12,medium
1002324,1,102,1405.36,0.92,594.43,firm_1,38.13,medium
1002324,1,103,1833.44,0.53,45.72,suppliers,36.12,high
1002324,1,104,1831.92,0.54,644.59,suppliers,36.12,medium
1002324,1,105,1272.25,0.71,161.35,suppliers,36.12,high
1002324,1,106,1785.07,0.58,169.24,suppliers,36.12,medium
1002324,1,107,1829.52,0.47,669.75,suppliers,36.12,medium
1002324,1,108,1763.65,0.89,795.22,suppliers,36.12,high
1002324,1,109,1253.86,0.61,101.28,suppliers,36.12,low
1002324,1,110,1686.05,0.65,27.49,suppliers,36.12,medium
1002324,1,111,1754.52,0.63,253.34,suppliers,36.12,low
1002324,1,112,1430.59,0.87,683.91,suppliers,36.12,high
1002324,1,113,1308.65,0.45,155.41,suppliers,36.12,high
1002324,1,114,1635.75,0.77,556.97,suppliers,36.12,medium
1002324,1,115,1720.67,0.45,780.81,suppliers,36.12,high
1002324,1,116,1708.66,0.46,288.75,suppliers,36.12,medium
1002324,1,117,1510.66,0.4,431.05,suppliers,36.12,medium
1002324,1,118,1832.69,0.3,17.29,suppliers,36.12,high
1002324,1,119,1781.36,0.63,56.45,suppliers,36.12,medium
1002324,1,120,1790.8,0.72,615.24,suppliers,36.12,high
1002324,1,121,1670.43,0.67,498.3,suppliers,36.12,medium
1002324,1,122,1073.65,0.27,656.81,suppliers,36.12,medium
1002324,1,123,1333.12,0.47,501.92,suppliers,36.12,high
1002324,1,124,1622.91,0.81,110.12,suppliers,36.12,high
1002324,1,125,1292.28,0.35,779.98,suppliers,36.12,high
1002324,1,126,1554.04,0.95,394.73,firm_2,41.95,medium
1002324,1,127,1587.94,0.35,194.11,suppliers,36.12,high
1002324,1,128,1423.43,0.61,88.62,suppliers,36.12,medium
1002324,1,129,1701.61,0.3,202.85,suppliers,36.12,medium
1002324,1,130,1341.04,0.38,726.85,suppliers,36.12,medium
1002324,1,131,1245.56,0.26,222.44,suppliers,36.12,medium
1002324,1,132,1652.7,0.42,654.59,suppliers,36.12,low
1002324,1,133,1834.51,0.43,196.58,suppliers,36.12,high
1002324,1,134,1553.87,0.69,630.75,suppliers,36.12,medium
1002324,1,135,1430.7,0.61,595.01,suppliers,36.12,medium
1002324,1,136,1637.0,0.47,322.26,suppliers,36.12,medium
1002324,1,137,1328.81,0.68,733.47,suppliers,36.12,high
1002324,1,138,1754.11,0.36,405.22,suppliers,36.12,medium
1002324,1,139,1764.65,0.28,553.2,suppliers,36.12,low
1002324,1,140,1481.28,0.64,653.88,suppliers,36.12,high
1002324,1,141,1278.29,0.33,540.66,suppliers,36.12,medium
1002324,1,142,1393.57,0.78,711.08,suppliers,36.12,high
1002324,1,143,1686.45,0.34,604.21,suppliers,36.12,medium
1002324,1,144,1410.4,0.34,667.13,suppliers,36.12,medium
1002324,1,145,1370.09,0.8,482.06,suppliers,36.12,low
1002324,1,146,1507.84,0.87,346.54,suppliers,36.12,medium
1002324,1,147,1723.93,0.56,29.73,suppliers,36.12,low
1002324,1,148,1682.15,0.66,337.74,suppliers,36.12,low
1002324,1,149,1304.66,0.46,69.04,suppliers,36.12,medium
1002324,1,150,1391.83,0.86,510.22,suppliers,36.12,low
1002324,1,151,1579.18,0.33,284.96,suppliers,36.12,medium
1002324,1,152,1504.4,0.77,754.46,suppliers,36.12,medium
1002324,1,153,1695.95,0.5,442.21,suppliers,36.12,medium
1002324,1,154,1087.32,0.47,399.36,suppliers,36.12,low
1002324,1,155,1713.13,0.31,781.93,suppliers,36.12,high
1002324,1,156,1787.14,0.49,417.3,suppliers,36.12,medium
1002324,1,157,1016.92,0.8,402.31,suppliers,36.12,medium
1002324,1,158,1598.76,0.39,626.09,suppliers,36.12,medium
1002324,1,159,1494.73,0.65,707.31,suppliers,36.12,low
1002324,1,160,1289.38,0.39,682.79,suppliers,36.12,high
1002324,1,161,1554.97,0.48,667.32,suppliers,36.12,medium
1002324,1,162,1817.76,0.36,384.41,suppliers,36.12,medium
1002324,1,163,1063.4,0.49,638.63,suppliers,36.12,medium
1002324,1,164,1620.52,0.53,443.42,suppliers,36.12,low
1002324,1,165,1704.61,0.34,202.21,suppliers,36.12,medium
1002324,1,166,1403.98,0.8,180.0,suppliers,36.12,medium
1002324,1,167,1286.58,0.64,724.35,suppliers,36.12,medium
1002324,1,168,1257.95,0.61,241.58,suppliers,36.12,medium
1002324,1,169,1326.87,0.46,463.05,suppliers,36.12,medium
1002324,1,170,1616.0,0.39,603.82,suppliers,36.12,high
1002324,1,171,1489.97,0.63,319.71,suppliers,36.12,medium
1002324,1,172,1350.64,0.34,156.74,suppliers,36.12,low
1002324,1,173,1767.1,0.91,223.19,firm_0,36.23,medium
1002324,1,174,1358.98,0.66,49.41,suppliers,36.12,medium
1002324,1,175,1464.75,0.25,664.89,suppliers,36.12,medium
1002324,1,176,1736.88,0.5,586.51,suppliers,36.12,low
1002324,1,177,1655.18,0.68,43.22,suppliers,36.12,low
1002324,1,178,1401.81,0.58,228.62,suppliers,36.12,low
1002324,1,179,1738.59,0.47,343.52,suppliers,36.12,medium
1002324,1,180,1263.81,0.87,40.4,suppliers,36.12,medium
1002324,1,181,867.81,0.62,794.29,suppliers,36.12,medium
1002324,1,182,1588.16,0.38,463.44,suppliers,36.12,high
1002324,1,183,1272.39,0.88,256.72,suppliers,36.12,high
1002324,1,184,1510.9,0.94,40.15,firm_2,41.95,low
1002324,1,185,1819.62,0.72,295.62,suppliers,36.12,high
1002324,1,186,882.68,0.67,543.81,suppliers,36.12,medium
1002324,1,187,1682.55,0.68,617.12,suppliers,36.12,low
1002324,1,188,1637.13,0.93,207.31,firm_9,41.1,medium
1002324,1,189,1486.84,0.67,732.05,suppliers,36.12,medium
1002324,1,190,1485.8,0.89,273.63,suppliers,36.12,medium
1002324,1,191,1414.79,0.57,74.04,suppliers,36.12,medium
1002324,1,192,1789.89,0.43,111.72,suppliers,36.12,medium
1002324,1,193,1416.7,0.28,110.21,suppliers,36.12,high
1002324,1,194,1761.32,0.57,78.89,suppliers,36.12,high
1002324,1,195,1608.1,0.25,61.12,suppliers,36.12,medium
1002324,1,196,1626.65,0.8,339.53,suppliers,36.12,low
1002324,1,197,1251.37,0.54,205.37,suppliers,36.12,high
1002324,1,198,1650.91,0.49,799.12,suppliers,36.12,medium
1002324,1,199,1572.63,0.36,327.4,suppliers,36.12,medium
1002324,1,200,1481.7,0.69,742.02,suppliers,36.12,high
1002324,1,201,1397.99,0.49,743.7,suppliers,36.12,medium
1002324,1,202,856.31,0.56,565.8,suppliers,36.12,high
1002324,1,203,1607.81,0.43,716.47,suppliers,36.12,high
1002324,1,204,1501.31,0.34,612.97,suppliers,36.12,high
1002324,1,205,1651.62,0.47,559.71,suppliers,36.12,high
1002324,1,206,1679.06,0.84,522.28,suppliers,36.12,medium
1002324,1,207,1288.49,0.74,226.89,suppliers,36.12,medium
1002324,1,208,1835.74,0.31,795.47,suppliers,36.12,low
1002324,1,209,1674.8,0.42,169.32,suppliers,36.12,high
1002324,1,210,1702.42,0.43,547.7,suppliers,36.12,medium
1002324,1,211,1285.45,0.43,12.03,suppliers,36.12,high
1002324,1,212,1831.67,0.48,232.71,suppliers,36.12,medium
1002324,1,213,1499.84,0.52,408.7,suppliers,36.12,medium
1002324,1,214,1591.68,0.46,649.67,suppliers,36.12,medium
1002324,1,215,1664.18,0.27,533.78,suppliers,36.12,medium
1002324,1,216,1681.42,0.68,211.53,suppliers,36.12,high
1002324,1,217,1569.1,0.75,652.58,suppliers,36.12,medium
1002324,1,218,1240.87,0.49,700.86,suppliers,36.12,medium
1002324,1,219,1455.09,0.39,724.22,suppliers,36.12,medium
1002324,1,220,1733.42,0.89,203.22,suppliers,36.12,high
1002324,1,221,1679.39,0.76,772.6,suppliers,36.12,medium
1002324,1,222,933.83,0.46,758.43,suppliers,36.12,high
1002324,1,223,1787.63,0.5,643.06,suppliers,36.12,medium
1002324,1,224,1818.65,0.62,198.92,suppliers,36.12,medium
1002324,1,225,1491.41,0.27,18.13,suppliers,36.12,medium
1002324,1,226,1307.71,0.49,385.78,suppliers,36.12,low
1002324,1,227,1271.81,0.28,144.27,suppliers,36.12,medium
1002324,1,228,1357.94,0.95,741.03,firm_2,41.95,medium
1002324,1,229,1806.92,0.58,182.98,suppliers,36.12,low
1002324,1,230,1527.8,0.33,135.5,suppliers,36.12,low
1002324,1,231,1555.12,0.72,448.44,suppliers,36.12,high
1002324,1,232,1567.86,0.27,595.92,suppliers,36.12,high
1002324,1,233,1824.78,0.38,643.32,suppliers,36.12,high
1002324,1,234,1759.17,0.84,493.6,suppliers,36.12,medium
1002324,1,235,1625.65,0.4,382.57,suppliers,36.12,low
1002324,1,236,1678.79,0.62,665.55,suppliers,36.12,medium
1002324,1,237,1432.83,0.73,614.13,suppliers,36.12,low
1002324,1,238,1650.5,0.56,568.35,suppliers,36.12,medium
1002324,1,239,1297.67,0.85,152.41,suppliers,36.12,medium
1002324,1,240,1788.45,0.46,759.71,suppliers,36.12,medium
1002324,1,241,1258.14,0.69,247.18,suppliers,36.12,low
1002324,1,242,1149.99,0.82,549.95,suppliers,36.12,low
1002324,1,243,1301.93,0.55,562.89,suppliers,36.12,high
1002324,1,244,1424.33,0.58,388.78,suppliers,36.12,medium
1002324,1,245,1484.42,0.26,248.07,suppliers,36.12,medium
1002324,1,246,1683.91,0.89,241.74,suppliers,36.12,medium
1002324,1,247,1625.5,0.56,276.86,suppliers,36.12,medium
1002324,1,248,1053.72,0.46,267.74,suppliers,36.12,medium
1002324,1,249,1660.03,0.53,109.17,suppliers,36.12,high
1002324,1,250,1598.87,0.41,678.19,suppliers,36.12,medium
1002324,1,251,1503.81,0.66,299.5,suppliers,36.12,medium
1002324,1,252,962.29,0.34,92.12,suppliers,36.12,high
1002324,1,253,1396.42,0.36,496.21,suppliers,36.12,medium
1002324,1,254,1465.85,0.28,511.67,suppliers,36.12,medium
1002324,1,255,1441.33,0.64,549.55,suppliers,36.12,low
1002324,1,256,1722.48,0.27,436.59,suppliers,36.12,high
1002324,1,257,944.39,0.51,232.82,suppliers,36.12,medium
1002324,1,258,1582.79,0.34,692.12,suppliers,36.12,high
1002324,1,259,1252.43,0.6,427.55,suppliers,36.12,high
1002324,1,260,1629.47,0.9,732.66,firm_7,32.89,high
1002324,1,261,1734.11,0.74,591.26,suppliers,36.12,low
1002324,1,262,1755.47,0.52,395.19,suppliers,36.12,high
1002324,1,263,1815.85,0.66,93.14,suppliers,36.12,low
1002324,1,264,1334.65,0.57,471.16,suppliers,36.12,high
1002324,1,265,1810.25,0.53,134.58,suppliers,36.12,medium
1002324,1,266,1795.29,0.8,236.48,suppliers,36.12,medium
1002324,1,267,1660.55,0.31,108.76,suppliers,36.12,medium
1002324,1,268,1811.17,0.35,621.67,suppliers,36.12,medium
1002324,1,269,1342.07,0.47,721.46,suppliers,36.12,medium
1002324,1,270,1303.12,0.74,281.91,suppliers,36.12,medium
1002324,1,271,1379.0,0.33,478.12,suppliers,36.12,medium
1002324,1,272,1593.81,0.59,175.94,suppliers,36.12,high
1002324,1,273,1624.79,0.43,655.04,suppliers,36.12,low
1002324,1,274,1700.89,0.46,693.84,suppliers,36.12,low
1002324,1,275,1361.31,0.4,668.44,suppliers,36.12,low
1002324,1,276,1677.1,0.33,597.38,suppliers,36.12,high
1002324,1,277,1384.03,0.42,59.14,suppliers,36.12,high
1002324,1,278,1450.99,0.32,84.69,suppliers,36.12,medium
1002324,1,279,1494.08,0.72,388.97,suppliers,36.12,low
1002324,1,280,1313.67,0.43,711.12,suppliers,36.12,medium
1002324,1,281,1644.41,0.46,209.29,suppliers,36.12,medium
1002324,1,282,1455.99,0.64,231.99,suppliers,36.12,low
1002324,1,283,1623.68,0.29,156.22,suppliers,36.12,low
1002324,1,284,1336.82,0.57,608.29,suppliers,36.12,medium
1002324,1,285,1514.56,0.27,190.08,suppliers,36.12,medium
1002324,1,286,1709.91,0.71,669.03,suppliers,36.12,high
1002324,1,287,1795.58,0.27,521.37,suppliers,36.12,high
1002324,1,288,1306.22,0.76,188.69,suppliers,36.12,medium
1002324,1,289,1823.43,0.89,390.17,suppliers,36.12,medium
1002324,1,290,1609.62,0.54,64.25,suppliers,36.12,medium
1002324,1,291,966.97,0.66,458.72,suppliers,36.12,medium
1002324,1,292,1585.18,0.45,390.37,suppliers,36.12,low
1002324,1,293,1532.4,0.81,123.92,suppliers,36.12,high
1002324,1,294,1501.14,0.28,735.27,suppliers,36.12,high
1002324,1,295,1092.73,0.29,171.39,suppliers,36.12,medium
1002324,1,296,1651.91,0.83,481.72,suppliers,36.12,medium
1002324,1,297,1394.21,0.65,681.54,suppliers,36.12,medium
1002324,1,298,1407.39,0.43,50.67,suppliers,36.12,low
1002324,1,299,1311.53,0.73,503.35,suppliers,36.12,medium
1002324,1,300,1434.85,0.39,241.59,suppliers,36.12,medium
1002324,1,301,1317.26,0.31,693.18,suppliers,36.12,high
1002324,1,302,1647.86,0.45,660.68,suppliers,36.12,high
1002324,1,303,1796.55,0.48,797.24,suppliers,36.12,medium
1002324,1,304,1796.74,0.83,304.71,suppliers,36.12,medium
1002324,1,305,1294.97,0.76,579.62,suppliers,36.12,medium
1002324,1,306,1605.8,0.58,517.78,suppliers,36.12,medium
1002324,1,307,1416.37,0.89,254.3,suppliers,36.12,high
1002324,1,308,1363.27,0.26,11.88,suppliers,36.12,high
1002324,1,309,1728.79,0.9,484.86,firm_7,32.89,medium
1002324,1,310,1351.05,0.65,297.51,suppliers,36.12,medium
1002324,1,311,1569.91,0.59,796.3,suppliers,36.12,high
1002324,1,312,1764.98,0.66,271.32,suppliers,36.12,low
1002324,1,313,1428.97,0.46,82.11,suppliers,36.12,high
1002324,1,314,1432.66,0.7,470.82,suppliers,36.12,high
1002324,1,315,1127.65,0.39,228.42,suppliers,36.12,low
1002324,1,316,1763.54,0.76,390.35,suppliers,36.12,high
1002324,1,317,1672.91,0.81,730.11,suppliers,36.12,medium
1002324,1,318,1761.8,0.41,754.15,suppliers,36.12,medium
1002324,1,319,1596.9,0.47,492.1,suppliers,36.12,medium
1002324,1,320,1509.13,0.33,290.02,suppliers,36.12,medium
1002324,1,321,1517.11,0.57,684.28,suppliers,36.12,medium
1002324,1,322,1798.91,0.71,189.55,suppliers,36.12,medium
1002324,1,323,1732.81,0.8,437.61,suppliers,36.12,medium
1002324,1,324,1353.42,0.33,525.53,suppliers,36.12,medium
1002324,1,325,1772.31,0.93,577.48,firm_9,41.1,medium
1002324,1,326,955.81,0.86,66.68,suppliers,36.12,medium
1002324,1,327,1351.6,0.36,169.33,suppliers,36.12,low
1002324,1,328,1342.65,0.27,129.81,suppliers,36.12,high
1002324,1,329,1541.68,0.71,640.24,suppliers,36.12,medium
1002324,1,330,1772.26,0.29,715.6,suppliers,36.12,low
1002324,1,331,1330.88,0.83,456.56,suppliers,36.12,high
1002324,1,332,1449.09,0.55,494.58,suppliers,36.12,low
1002324,1,333,1702.19,0.26,763.22,suppliers,36.12,medium
1002324,1,334,1443.06,0.56,672.23,suppliers,36.12,high
1002324,1,335,1770.69,0.63,333.51,suppliers,36.12,medium
1002324,1,336,1243.39,0.43,361.88,suppliers,36.12,medium
1002324,1,337,1490.02,0.38,689.57,suppliers,36.12,medium
1002324,1,338,1657.55,0.64,525.0,suppliers,36.12,high
1002324,1,339,1537.65,0.75,502.47,suppliers,36.12,low
1002324,1,340,1558.12,0.27,678.54,suppliers,36.12,low
1002324,1,341,1709.22,0.86,706.8,suppliers,36.12,medium
1002324,1,342,1575.4,0.79,584.93,suppliers,36.12,medium
1002324,1,343,1375.5,0.32,575.54,suppliers,36.12,medium
1002324,1,344,1718.63,0.31,346.91,suppliers,36.12,medium
1002324,1,345,1763.47,0.66,764.51,suppliers,36.12,high
1002324,1,346,1597.88,0.62,221.74,suppliers,36.12,medium
1002324,1,347,1507.31,0.26,302.72,suppliers,36.12,medium
1002324,1,348,1462.0,0.8,691.95,suppliers,36.12,high
1002324,1,349,1285.32,0.66,704.44,suppliers,36.12,high
1002324,1,350,1631.85,0.58,242.31,suppliers,36.12,medium
1002324,1,351,1531.7,0.87,459.76,suppliers,36.12,high
1002324,1,352,1643.48,0.43,160.91,suppliers,36.12,low
1002324,1,353,1615.85,0.62,746.65,suppliers,36.12,high
1002324,1,354,1603.72,0.45,316.54,suppliers,36.12,medium
1002324,1,355,1269.1,0.62,607.78,suppliers,36.12,low
1002324,1,356,1302.95,0.58,140.05,suppliers,36.12,high
1002324,1,357,1698.85,0.7,320.02,suppliers,36.12,high
1002324,1,358,1633.52,0.48,160.73,suppliers,36.12,medium
1002324,1,359,1443.75,0.29,753.68,suppliers,36.12,medium
1002324,1,360,1613.85,0.4,730.14,suppliers,36.12,high
1002324,1,361,1736.6,0.82,477.68,suppliers,36.12,medium
1002324,1,362,1689.49,0.29,306.74,suppliers,36.12,medium
1002324,1,363,1752.02,0.62,706.42,suppliers,36.12,medium
1002324,1,364,1248.04,0.58,487.97,suppliers,36.12,medium
1002324,1,365,1640.21,0.53,146.34,suppliers,36.12,high
1002324,1,366,1272.95,0.6,544.55,suppliers,36.12,high
1002324,1,367,1295.17,0.58,588.63,suppliers,36.12,medium
1002324,1,368,1467.06,0.42,770.4,suppliers,36.12,low
1002324,1,369,1833.49,0.32,549.32,suppliers,36.12,medium
1002324,1,370,1538.13,0.66,795.0,suppliers,36.12,high
1002324,1,371,1818.23,0.33,530.15,suppliers,36.12,high
1002324,1,372,1308.38,0.84,405.34,suppliers,36.12,low
1002324,1,373,1320.14,0.74,56.24,suppliers,36.12,high
1002324,1,374,1481.65,0.29,63.09,suppliers,36.12,high
1002324,1,375,1632.47,0.42,471.03,suppliers,36.12,medium
1002324,1,376,1666.17,0.79,656.21,suppliers,36.12,medium
1002324,1,377,777.53,0.52,491.48,suppliers,36.12,medium
1002324,1,378,1481.28,0.4,128.62,suppliers,36.12,medium
1002324,1,379,1289.65,0.66,478.14,suppliers,36.12,medium
1002324,1,380,1543.87,0.45,196.85,suppliers,36.12,medium
1002324,1,381,1467.27,0.63,76.3,suppliers,36.12,medium
1002324,1,382,1743.34,0.63,742.41,suppliers,36.12,medium
1002324,1,383,1422.9,0.63,669.9,suppliers,36.12,medium
1002324,1,384,1302.52,0.31,388.13,suppliers,36.12,medium
1002324,1,385,1281.78,0.56,321.23,suppliers,36.12,medium
1002324,1,386,1666.45,0.9,688.52,firm_7,32.89,medium
1002324,1,387,1293.55,0.67,405.0,suppliers,36.12,medium
1002324,1,388,1756.35,0.61,377.15,suppliers,36.12,high
1002324,1,389,1364.08,0.66,192.44,suppliers,36.12,medium
1002324,1,390,1670.85,0.43,505.32,suppliers,36.12,low
1002324,1,391,1791.88,0.76,539.55,suppliers,36.12,high
1002324,1,392,1815.32,0.82,245.15,suppliers,36.12,low
1002324,1,393,1396.98,0.87,354.26,suppliers,36.12,medium
1002324,1,394,1488.45,0.65,175.84,suppliers,36.12,medium
1002324,1,395,1342.24,0.42,198.28,suppliers,36.12,medium
1002324,1,396,1567.45,0.51,785.84,suppliers,36.12,medium
1002324,1,397,1595.0,0.61,204.37,suppliers,36.12,medium
1002324,1,398,1741.52,0.51,254.49,suppliers,36.12,medium
1002324,1,399,1345.55,0.54,558.49,suppliers,36.12,medium
1002324,1,400,1439.37,0.35,273.63,suppliers,36.12,low
1002324,1,401,1666.57,0.57,726.22,suppliers,36.12,high
1002324,1,402,1356.74,0.74,736.42,suppliers,36.12,low
1002324,1,403,1292.03,0.48,611.64,suppliers,36.12,high
1002324,1,404,1542.48,0.53,596.72,suppliers,36.12,high
1002324,1,405,1514.78,0.42,434.93,suppliers,36.12,high
1002324,1,406,1668.92,0.68,54.49,suppliers,36.12,high
1002324,1,407,1004.9,0.54,250.37,suppliers,36.12,medium
1002324,1,408,1283.66,0.26,594.63,suppliers,36.12,high
1002324,1,409,1602.32,0.76,353.72,suppliers,36.12,medium
1002324,1,410,1787.61,0.37,321.0,suppliers,36.12,low
1002324,1,411,1385.38,0.41,782.01,suppliers,36.12,medium
1002324,1,412,1508.39,0.44,100.49,suppliers,36.12,medium
1002324,1,413,1794.49,0.88,197.79,suppliers,36.12,high
1002324,1,414,1246.05,0.71,50.51,suppliers,36.12,medium
1002324,1,415,1700.62,0.28,117.78,suppliers,36.12,low
1002324,1,416,1434.38,0.86,141.66,suppliers,36.12,high
1002324,1,417,1709.68,0.65,34.9,suppliers,36.12,high
1002324,1,418,1382.81,0.39,227.74,suppliers,36.12,high
1002324,1,419,1289.63,0.36,106.94,suppliers,36.12,low
1002324,1,420,1356.52,0.54,539.63,suppliers,36.12,medium
1002324,1,421,1703.1,0.58,355.21,suppliers,36.12,low
1002324,1,422,1527.27,0.65,393.6,suppliers,36.12,low
1002324,1,423,1307.29,0.74,736.48,suppliers,36.12,high
1002324,1,424,1406.27,0.7,139.63,suppliers,36.12,medium
1002324,1,425,1478.59,0.7,501.6,suppliers,36.12,low
1002324,1,426,1600.41,0.55,290.0,suppliers,36.12,medium
1002324,1,427,1555.81,0.35,628.7,suppliers,36.12,high
